frame.number,frame.time,wlan_radio.signal_db,wlan_radio.channel,wlan.ssid,_ws.col.protocol,ip.ttl,wlan.bssid,wlan.sa,wlan.ta,wlan.ra,wlan.da,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,_ws.col.info,frame.len,frame.time_delta_displayed,ppi_gps.lat,ppi_gps.lon,"ppi_gps.alt"
1,"Mar 14, 2025 13:51:42.812717000 Pakistan Standard Time",,,,TLSv1.2,,,,,,,,,443,51237,0x0018,Application Data,113,0.000000000,,,""
2,"Mar 14, 2025 13:51:42.812819000 Pakistan Standard Time",,,,TCP,,,,,,,,,51237,443,0x0010,51237 → https(443) [ACK] Seq=1 Ack=40 Win=1021 Len=0,74,0.000102000,,,""
3,"Mar 14, 2025 13:51:42.815675000 Pakistan Standard Time",,,,TLSv1.2,,,,,,,,,443,51238,0x0018,Application Data,113,0.002856000,,,""
4,"Mar 14, 2025 13:51:42.815746000 Pakistan Standard Time",,,,TCP,,,,,,,,,51238,443,0x0010,51238 → https(443) [ACK] Seq=1 Ack=40 Win=1021 Len=0,74,0.000071000,,,""
5,"Mar 14, 2025 13:51:43.097253000 Pakistan Standard Time",,,,TLSv1.2,,,,,,,,,443,51240,0x0018,Application Data,113,0.281507000,,,""
6,"Mar 14, 2025 13:51:43.097375000 Pakistan Standard Time",,,,TCP,,,,,,,,,51240,443,0x0010,51240 → https(443) [ACK] Seq=1 Ack=40 Win=1021 Len=0,74,0.000122000,,,""
7,"Mar 14, 2025 13:51:43.158587000 Pakistan Standard Time",,,,DNS,,,,,,,,,,,,Standard query 0x84f2 PTR 7.6.1.0.0.0.0.0.c.0.0.b.e.c.a.f.0.2.1.0.a.4.3.f.0.8.8.2.3.0.a.2.ip6.arpa OPT,163,0.061212000,,,""
8,"Mar 14, 2025 13:51:43.159036000 Pakistan Standard Time",,,,DNS,,,,,,,,,,,,Standard query 0x8bb0 PTR b.2.1.d.3.5.b.d.c.a.2.f.0.0.0.e.3.3.f.1.d.0.0.0.0.0.0.d.7.0.4.2.ip6.arpa OPT,163,0.000449000,,,""
9,"Mar 14, 2025 13:51:43.187763000 Pakistan Standard Time",,,,DNS,,,,,,,,,,,,Standard query response 0x84f2 PTR 7.6.1.0.0.0.0.0.c.0.0.b.e.c.a.f.0.2.1.0.a.4.3.f.0.8.8.2.3.0.a.2.ip6.arpa PTR whatsapp-cdn6-shv-02-mct1.fbcdn.net OPT,212,0.028727000,,,""
10,"Mar 14, 2025 13:51:43.196720000 Pakistan Standard Time",,,,DNS,,,,,,,,,,,,Standard query response 0x8bb0 No such name PTR b.2.1.d.3.5.b.d.c.a.2.f.0.0.0.e.3.3.f.1.d.0.0.0.0.0.0.d.7.0.4.2.ip6.arpa SOA ns10.nayatel.com OPT,260,0.008957000,,,""
