frame.number,_ws.col.protocol,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,_ws.col.info,frame.len,frame.time_delta_displayed
1,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,330,0.0
2,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,330,1.3e-05
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0.313026
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,1.2e-05
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,0.000318
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,8e-06
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,0.002859
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0.991533
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,1.3e-05
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0.00069
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,1e-05
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0.002803
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,0.000958
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,9.640777
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,1.4e-05
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.000468
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,9e-06
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.000414
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,1e-05
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161,0.07459
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,0.003576
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183,0.000189
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.103324
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,1.9e-05
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.000255
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,1.6e-05
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.000653
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,1.7e-05
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0.017176
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,1.5e-05
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,0.020242
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.001618
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.048545
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,2.3e-05
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.037021
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.023915
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,0.050862
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292,2.1e-05
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0.000561
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,1e-05
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288,0.001614
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288,2.2e-05
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,0.00028
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,1.2e-05
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182,0.034532
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.002168
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,2.1e-05
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91,0.016512
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.028392
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,1.4e-05
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,0.104877
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.000547
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,1.6e-05
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724,0.018128
