frame.len,ip.ttl,tcp.srcport,tcp.dstport,frame.time_delta_displayed
330,64.0,52813.0,443.0,0.0
330,64.0,52813.0,443.0,1.3e-05
118,106.0,52813.0,443.0,0.313026
118,106.0,52813.0,443.0,1.2e-05
117,106.0,52813.0,443.0,0.000318
117,106.0,52813.0,443.0,8e-06
118,106.0,52813.0,443.0,0.002859
117,106.0,52813.0,443.0,0.0
163,106.0,52813.0,443.0,0.991533
163,106.0,52813.0,443.0,1.3e-05
163,106.0,52813.0,443.0,0.00069
163,106.0,52813.0,443.0,1e-05
163,106.0,52813.0,443.0,0.002803
163,106.0,52813.0,443.0,0.000958
99,106.0,52813.0,443.0,9.640777
99,106.0,52813.0,443.0,1.4e-05
99,106.0,52813.0,443.0,0.000468
99,106.0,52813.0,443.0,9e-06
99,106.0,52813.0,443.0,0.000414
99,106.0,52813.0,443.0,1e-05
161,106.0,52813.0,443.0,0.07459
149,106.0,52813.0,443.0,0.003576
183,106.0,52813.0,443.0,0.000189
1292,106.0,52813.0,443.0,0.103324
1292,106.0,52813.0,443.0,1.9e-05
1292,106.0,52813.0,443.0,0.000255
1292,106.0,52813.0,443.0,1.6e-05
1292,106.0,52813.0,443.0,0.000653
1292,106.0,52813.0,443.0,1.7e-05
142,106.0,52813.0,443.0,0.017176
142,106.0,52813.0,443.0,1.5e-05
102,106.0,52813.0,443.0,0.020242
102,106.0,52813.0,443.0,0.0
1292,106.0,52813.0,443.0,0.001618
1292,106.0,52813.0,443.0,0.0
1292,106.0,52813.0,443.0,0.048545
1292,106.0,52813.0,443.0,2.3e-05
1292,106.0,52813.0,443.0,0.037021
1292,106.0,52813.0,443.0,0.023915
369,106.0,52813.0,443.0,0.0
985,106.0,52813.0,443.0,0.0
114,106.0,52813.0,443.0,0.0
86,106.0,52813.0,443.0,0.0
1292,106.0,52813.0,443.0,0.050862
1292,106.0,52813.0,443.0,2.1e-05
93,106.0,52813.0,443.0,0.000561
